dataset,platform,split,label,text,context,text_clean,context_clean,n_chars,n_words,n_sentences,avg_word_len,n_exclam,n_question,n_ellipsis,n_repeat_punct,n_allcaps_words,allcaps_ratio,n_emoji,n_elongation,n_scare_quotes,n_urls,n_mentions,n_hashtags,n_interjections,starts_with_interjection,context_n_words,has_context,en_score,is_english,lang_method
twitter_sarcasm,twitter,train,0,I genuinely love musicians.,,I genuinely love musicians.,,27,4,1,5.75,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,0.97375,True,heuristic-high
twitter_sarcasm,twitter,train,0,I find vegetarians to be wonderful.,,I find vegetarians to be wonderful.,,35,6,1,4.833333333333333,0,0,0,0,0,0.0,0,0,0,0,0,0,1,False,0,False,1.0,True,heuristic-high
twitter_sarcasm,twitter,train,1,Because artists really make everything better.,,Because artists really make everything better.,,46,6,1,6.666666666666667,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
twitter_sarcasm,twitter,train,1,"Oh great, another artists. Just what I needed.",,"Oh great, another artists. Just what I needed.",,46,8,2,4.5,0,0,0,0,0,0.0,0,0,0,0,0,0,2,True,0,False,0.978125,True,heuristic-high
twitter_sarcasm,twitter,train,1,"this movie are so wonderful, said no one ever.",,"this movie are so wonderful, said no one ever.",,46,9,1,4.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,False,0,False,1.0,True,heuristic-high
twitter_sarcasm,twitter,train,1,"Oh great, another my new phone. Just what I needed.",,"Oh great, another my new phone. Just what I needed.",,51,10,2,3.9,0,0,0,0,0,0.0,0,0,0,0,0,0,2,True,0,False,1.0,True,heuristic-high
twitter_sarcasm,twitter,train,1,Nothing better than a the meal moment.,,Nothing better than a the meal moment.,,38,7,1,4.428571428571429,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
twitter_sarcasm,twitter,train,1,"Oh great, another writers. Just what I needed.",,"Oh great, another writers. Just what I needed.",,46,8,2,4.5,0,0,0,0,0,0.0,0,0,0,0,0,0,2,True,0,False,0.978125,True,heuristic-high
twitter_sarcasm,twitter,train,0,I am always excited for the workshop.,,I am always excited for the workshop.,,37,7,1,4.285714285714286,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
twitter_sarcasm,twitter,train,1,Nothing better than a the concert moment.,,Nothing better than a the concert moment.,,41,7,1,4.857142857142857,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
twitter_sarcasm,twitter,train,0,Had a great time with the conference.,,Had a great time with the conference.,,37,7,1,4.285714285714286,0,0,0,0,0,0.0,0,0,0,0,0,0,1,False,0,False,1.0,True,heuristic-high
twitter_sarcasm,twitter,train,1,Nothing better than a the game moment.,,Nothing better than a the game moment.,,38,7,1,4.428571428571429,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
twitter_sarcasm,twitter,train,0,this movie are truly inspiring.,,this movie are truly inspiring.,,31,5,1,5.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
twitter_sarcasm,twitter,train,1,Nothing better than a writers moment.,,Nothing better than a writers moment.,,37,6,1,5.166666666666667,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,0.9416666666666667,True,heuristic-high
twitter_sarcasm,twitter,train,1,"Everyone loves the concert, right?",,"Everyone loves the concert, right?",,34,5,1,5.6,0,1,0,0,0,0.0,0,0,0,0,0,0,1,False,0,False,0.9299999999999999,True,heuristic-high
twitter_sarcasm,twitter,train,1,"Oh great, another athletes. Just what I needed.",,"Oh great, another athletes. Just what I needed.",,47,8,2,4.625,0,0,0,0,0,0.0,0,0,0,0,0,0,2,True,0,False,0.978125,True,heuristic-high
twitter_sarcasm,twitter,train,0,I find this book to be wonderful.,,I find this book to be wonderful.,,33,7,1,3.7142857142857144,0,0,0,0,0,0.0,0,0,0,0,0,0,1,False,0,False,1.0,True,heuristic-high
